,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_DISCIPLINE,COACH_NAME,COACH_COUNTRY,COACH_DISCIPLINE,COACH_EVENT,FEMALE_ENTRIES,MALE_ENTRIES,TOTAL_ENTRIES,TEAM_COUNTRY,GOLD_MEDALS,SILVER_MEDALS,BRONZE_MEDALS,TOTAL_MEDALS,RANK_BY_TOTAL
11763,RIVAS Claudia,Mexico,Triathlon,,,,,55,55,110,Mexico,0.0,0.0,4.0,4.0,47.0
11764,RIVAS QUIJADA Willner Enrique,Venezuela,Volleyball,MANZANILLO Andres,Venezuela,Volleyball,,144,144,288,Venezuela,1.0,3.0,0.0,4.0,47.0
11765,RIVAS QUIJADA Willner Enrique,Venezuela,Volleyball,PANTOJA Hernan,Venezuela,Volleyball,,144,144,288,Venezuela,1.0,3.0,0.0,4.0,47.0
11766,RIVAS QUIJADA Willner Enrique,Venezuela,Volleyball,SARTI Ronald,Venezuela,Volleyball,Men,144,144,288,Venezuela,1.0,3.0,0.0,4.0,47.0
11767,RIVAS QUIJADA Willner Enrique,Venezuela,Volleyball,VILLEGAS Orlando,Venezuela,Volleyball,,144,144,288,Venezuela,1.0,3.0,0.0,4.0,47.0
11768,RIVAS Rigoberto,Honduras,Football,FALERO Miguel,Honduras,Football,Men,264,344,608,,,,,,
11769,RIVASZ-TOTH Norbert,Hungary,Athletics,,,,,969,1072,2041,Hungary,6.0,7.0,7.0,20.0,13.0
11770,RIVERA BRENS Prisilla,Dominican Republic,Volleyball,KWIEK Marcos,Dominican Republic,Volleyball,Women,144,144,288,Dominican Republic,0.0,3.0,2.0,5.0,42.0
11771,RIVERA Coryn,United States of America,Cycling Road,,,,,70,131,201,United States of America,39.0,41.0,33.0,113.0,1.0
11772,RIVERA FIGUEROA Yankiel,Puerto Rico,Boxing,,,,,102,187,289,Puerto Rico,1.0,0.0,0.0,1.0,77.0
11773,RIVEROS Barbara,Chile,Triathlon,,,,,55,55,110,,,,,,
11774,RIVIERE Jayde,Canada,Football,PRIESTMAN Bev,Canada,Football,Women,264,344,608,Canada,7.0,6.0,11.0,24.0,11.0
11775,RIVIERE Mathilde,France,Wrestling,,,,,96,193,289,France,10.0,12.0,11.0,33.0,10.0
11776,RIWAI Viniana,Fiji,Rugby Sevens,BABER Gareth Colin,Fiji,Rugby Sevens,Men,146,151,297,Fiji,1.0,0.0,1.0,2.0,66.0
11777,RIWAI Viniana,Fiji,Rugby Sevens,FULI Saiasi,Fiji,Rugby Sevens,Women,146,151,297,Fiji,1.0,0.0,1.0,2.0,66.0
11778,RIZAEV Irek,ROC,Cycling BMX Freestyle,,,,,10,9,19,ROC,20.0,28.0,23.0,71.0,3.0
11779,RIZZA Manfredi,Italy,Canoe Sprint,,,,,123,126,249,Italy,10.0,10.0,20.0,40.0,7.0
